"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run",72,126,6,28,2,466.6666666666667,"Action,IDLE_NAVIGATION,StaticHandlerContext.actionData,StaticHandlerContext.loaderData,StaticHandlerContext.errors,Router,UNSAFE_mapRouteProperties,AgnosticDataRouteMatch.route,Action.Pop,StaticHandlerContext,StaticHandlerContext.location,StaticHandlerContext.matches,AgnosticDataRouteObject.id,UNSAFE_convertRoutesToDataRoutes,StaticHandlerContext.basename,IDLE_FETCHER,RouteObject,IDLE_BLOCKER,createStaticHandler,StaticHandler,Router.future,RouterState.historyAction,RouterState.location,FutureConfig.v7_relativeSplatPath,UNSAFE_invariant,Router.routes",""
"server","@types",6,30,6,28,2,466.6666666666667,"React.ReactNode,React.JSX.Element",""
"react-router-dom","@remix-run",274,486,62,115,2,185.48387096774192,"HTMLFormMethod.toLowerCase,BrowserHistory.location,BrowserHistory.listen,BrowserHistory.action,UNSAFE_logV6DeprecationWarnings,BrowserHistory,createBrowserHistory,History.location,History.listen,History.action,NavigateOptions,UNSAFE_NavigationContext,Router.fetch,Router.navigate,UNSAFE_useRouteId,GetScrollRestorationKeyFunction,To,useMatches,useNavigation,stripBasename,Location.hash,UNSAFE_warning,Router.enableScrollRestoration,Navigation.state,useLocation,Location.key,Location.pathname,RouteObject.index,joinPaths,Location.search,RouteContextObject.matches,UNSAFE_invariant,createPath,RouteMatch.route,UNSAFE_RouteContext,useResolvedPath,UNSAFE_mapRouteProperties,createHashHistory,Router.initialize,createRouter,Router,RouteObject,matchPath,Path.pathname,HashHistory,HashHistory.location,HashHistory.listen,HashHistory.action,JsonValue,FormEncType,JsonObject,useBlocker,BlockerBlocked.reset,BlockerFunction,Blocker.state,BlockerBlocked.proceed,History,FutureConfig,RouterState,Fetcher.data,RouterState.initialized,Router.subscribe,RouterState.location,ViewTransitionOpts.currentLocation,RouterSubscriber,Router.state,FutureConfig.v7_relativeSplatPath,Router.createHref,FutureConfig.v7_partialHydration,RouterState.fetchers,RouterState.historyAction,Router.encodeLocation,ViewTransitionOpts.nextLocation,Router.window,Router.routes,Router.basename,Router.future,RouterProviderProps,useNavigate,IDLE_FETCHER,RouteObject.id,Router.getFetcher,Router.deleteFetcher,useHref,UNSAFE_DataRouterStateContext,RouterState.navigation,Navigator.encodeLocation,Navigation.location",""
"react-router-dom","@types",166,496,62,115,2,185.48387096774192,"React.JSX.Element,React.FormEvent.defaultPrevented,React.forwardRef,React.ForwardRefExoticComponent,React.FormEvent.preventDefault,React.ForwardedRef,React.RefAttributes,React.FormEvent.currentTarget,React.useEffect,React.MutableRefObject.current,React.useLayoutEffect,React.useState,React.useRef,React.useCallback,React.useContext,React.ReactNode,React.AnchorHTMLAttributes,React.ReactElement,React.useMemo,React.MouseEvent.preventDefault,React.MouseEvent,React.ForwardRefExoticComponent.displayName,React.MouseEvent.defaultPrevented,React.CSSProperties,React.ReactPortal,React.Context,React.createContext",""
"react-router-native","@types",40,98,17,24,4,141.1764705882353,"React.ReactNode,GestureResponderEvent,TouchableHighlightProps,BackHandler,React.useEffect,BackHandlerStatic.addEventListener,BackHandlerStatic.removeEventListener,React.useRef,React.useCallback,React.MutableRefObject.current,React.useMemo,GestureResponderEvent.defaultPrevented,React.JSX.Element,LinkingStatic.getInitialURL,LinkingStatic.addEventListener,LinkingStatic.removeEventListener,Linking",""
"react-router-native","@remix-run",18,41,17,24,4,141.1764705882353,"To,useNavigate,MemoryRouterProps,Location.search,useLocation,NavigateOptions",""
"react-router-native","@ungap",4,8,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run",16,20,7,9,2,128.57142857142858,"DataStrategyFunction,Router.initialize,createRouter,Router,createMemoryHistory,InitialEntry,AgnosticPatchRoutesOnNavigationFunctionArgs,UNSAFE_warning",""
"react-router","@types",2,6,7,9,2,128.57142857142858,"React.createElement",""
"App","@types",1,1,1,1,1,100,"React.JSX.Element",""
