"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_outgoing_incoming_Dependencies.cypher"
"org.axonframework.common","common",0.04935622317596566,0.0436046511627907,0.0,0.012658227848101266,0.14285714285714285,23,443,15,329,0,0,1,78,1,6,""
"org.axonframework.common.transaction","transaction",0.0594059405940594,0.05063291139240506,0.0,0.034482758620689655,0.2,6,95,4,75,0,0,1,28,1,4,""
"org.axonframework.eventhandling.scheduling","scheduling",0.09090909090909091,0.14285714285714285,0.0,0.2222222222222222,0.25,2,20,2,12,0,0,2,7,1,3,""
"org.axonframework.messaging","messaging",0.11901081916537867,0.09803921568627451,0.0,0.1016949152542373,0.14285714285714285,77,570,35,322,0,0,6,53,1,6,""
"org.axonframework.common.annotation","annotation",0.12,0.12,0.0,0.16666666666666666,0.25,3,22,3,22,0,0,2,10,1,3,""
"org.axonframework.lifecycle","lifecycle",0.1724137931034483,0.23333333333333334,0.0,0.17647058823529413,0.25,10,48,7,23,0,0,3,14,1,3,""
"org.axonframework.monitoring","monitoring",0.1891891891891892,0.15217391304347827,0.0,0.23076923076923078,0.2,14,60,7,39,0,0,3,10,1,4,""
"org.axonframework.common.stream","stream",0.22727272727272727,0.16666666666666666,0.0,0.125,0.25,5,17,3,15,0,0,1,7,1,3,""
"org.axonframework.messaging.unitofwork","unitofwork",0.25,0.1941747572815534,0.0,0.12195121951219512,0.14285714285714285,59,177,20,83,0,0,5,36,1,6,""
"org.axonframework.serialization","serialization",0.25517241379310346,0.25,0.0,0.21428571428571427,0.2,111,324,46,138,0,0,9,33,1,4,""
"org.axonframework.common.jpa","jpa",0.2727272727272727,0.25,0.0,0.3,0.2,6,16,5,15,0,0,3,7,1,4,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.2878787878787879,0.34210526315789475,0.0,0.3333333333333333,0.3333333333333333,19,47,13,25,0,0,4,8,1,2,""
"org.axonframework.common.legacyjpa","legacyjpa",0.3,0.2777777777777778,0.0,0.3333333333333333,0.25,6,14,5,13,0,0,3,6,1,3,""
"org.axonframework.serialization.upcasting","upcasting",0.3125,0.08333333333333333,0.0,0.3333333333333333,0.5,5,11,1,11,0,0,1,2,1,1,""
"org.axonframework.tracing","tracing",0.32195121951219513,0.28125,0.0,0.3333333333333333,0.2,66,139,27,69,0,0,9,18,1,4,""
"org.axonframework.common.digest","digest",0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,1,2,1,2,0,0,1,2,1,1,""
"org.axonframework.test","test",0.3333333333333333,0.3181818181818182,0.0,0.4,0.6666666666666666,8,16,7,15,0,0,4,6,2,1,""
"org.axonframework.messaging.annotation","annotation",0.349146110056926,0.3073394495412844,0.0,0.21875,0.14285714285714285,184,343,67,151,0,0,7,25,1,6,""
"org.axonframework.commandhandling","commandhandling",0.35108958837772397,0.36597938144329895,0.0,0.3333333333333333,0.14285714285714285,145,268,71,123,0,0,9,18,1,6,""
"org.axonframework.common.jdbc","jdbc",0.3564356435643564,0.43137254901960786,0.0,0.35714285714285715,0.2,36,65,22,29,0,0,5,9,1,4,""
"org.axonframework.messaging.deadletter","deadletter",0.3630952380952381,0.40350877192982454,0.0,0.45454545454545453,0.3333333333333333,61,107,23,34,0,0,5,6,1,2,""
"org.axonframework.common.lock","lock",0.36363636363636365,0.36363636363636365,0.0,0.2222222222222222,0.2,24,42,12,21,0,0,2,7,1,4,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.36363636363636365,0.3888888888888889,0.0,0.4,0.5,8,14,7,11,0,0,4,6,2,2,""
"org.axonframework.eventhandling","eventhandling",0.3771331058020478,0.3416289592760181,0.0,0.25806451612903225,0.16666666666666666,442,730,151,291,0,0,16,46,1,5,""
"org.axonframework.common.property","property",0.39473684210526316,0.38095238095238093,0.0,0.2857142857142857,0.3333333333333333,15,23,8,13,0,0,2,5,1,2,""
"org.axonframework.messaging.correlation","correlation",0.45,0.23076923076923078,0.0,0.3333333333333333,0.3333333333333333,9,11,3,10,0,0,2,4,1,2,""
"org.axonframework.test.matchers","matchers",0.45161290322580644,0.5208333333333334,0.0,0.6,0.6666666666666666,42,51,25,23,0,0,6,4,2,1,""
"org.axonframework.messaging.responsetypes","responsetypes",0.45454545454545453,0.4473684210526316,0.0,0.6,0.5,30,36,17,21,0,0,6,4,1,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.4827586206896552,0.6428571428571429,0.0,0.7142857142857143,0.6666666666666666,28,30,9,5,0,0,5,2,2,1,""
"org.axonframework.common.caching","caching",0.4861111111111111,0.3888888888888889,0.0,0.2857142857142857,0.16666666666666666,35,37,14,22,0,0,2,5,1,5,""
"org.axonframework.modelling.command","command",0.5116822429906542,0.5481927710843374,0.0,0.6,0.2857142857142857,219,209,91,75,0,0,15,10,2,5,""
"org.axonframework.deadline","deadline",0.5151515151515151,0.5443037974683544,0.0,0.4,0.2,68,64,43,36,0,0,8,12,1,4,""
"org.axonframework.modelling.saga","saga",0.5274261603375527,0.5086206896551724,0.0,0.47368421052631576,0.4,125,112,59,57,0,0,9,10,2,3,""
"org.axonframework.eventhandling.async","async",0.55,0.5263157894736842,0.0,0.625,0.3333333333333333,44,36,20,18,0,0,5,3,1,2,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.5729537366548043,0.5161290322580645,0.0,0.6153846153846154,0.42857142857142855,161,120,64,60,0,0,16,10,3,4,""
"org.axonframework.modelling.saga.repository","repository",0.5798319327731093,0.5625,0.0,0.5333333333333333,0.4,69,50,36,28,0,0,8,7,2,3,""
"org.axonframework.serialization.upcasting.event","event",0.5824175824175825,0.5306122448979592,0.0,0.42857142857142855,0.25,53,38,26,23,0,0,6,8,1,3,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.5833333333333334,0.5,0.0,0.5,0.25,7,5,5,5,0,0,3,3,1,3,""
"org.axonframework.serialization.xml","xml",0.5853658536585366,0.6296296296296297,0.0,0.3333333333333333,0.2,24,17,17,10,0,0,4,8,1,4,""
"org.axonframework.queryhandling.registration","registration",0.5909090909090909,0.5833333333333334,0.0,0.6666666666666666,0.5,13,9,7,5,0,0,4,2,1,1,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.6052631578947368,0.625,0.0,0.5714285714285714,0.6666666666666666,23,15,15,9,0,0,4,3,2,1,""
"org.axonframework.queryhandling","queryhandling",0.6057441253263708,0.6201550387596899,0.0,0.55,0.3333333333333333,232,151,80,49,0,0,11,9,1,2,""
"org.axonframework.commandhandling.callbacks","callbacks",0.6190476190476191,0.36363636363636365,0.0,0.2,0.3333333333333333,13,8,4,7,0,0,1,4,1,2,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.625,0.5384615384615384,0.0,0.6,0.5,20,12,7,6,0,0,3,2,1,1,""
"org.axonframework.commandhandling.gateway","gateway",0.6311787072243346,0.6292134831460674,0.0,0.7692307692307693,0.25,166,97,56,33,0,0,10,3,1,3,""
"org.axonframework.test.utils","utils",0.6363636363636364,0.6666666666666666,0.0,0.7142857142857143,0.75,14,8,12,6,0,0,5,2,3,1,""
"org.axonframework.test.eventscheduler","eventscheduler",0.64,0.6666666666666666,0.0,0.7142857142857143,0.6666666666666666,16,9,10,5,0,0,5,2,2,1,""
"org.axonframework.eventsourcing","eventsourcing",0.6512345679012346,0.6893939393939394,0.0,0.7619047619047619,0.42857142857142855,211,113,91,41,0,0,16,5,3,4,""
"org.axonframework.eventhandling.gateway","gateway",0.65625,0.7058823529411765,0.0,0.6666666666666666,0.3333333333333333,21,11,12,5,0,0,4,2,1,2,""
"org.axonframework.modelling.command.inspection","inspection",0.6624472573839663,0.6293103448275862,0.0,0.5882352941176471,0.2857142857142857,157,80,73,43,0,0,10,7,2,5,""
"org.axonframework.test.server","server",0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,2,1,2,1,0,0,2,1,2,1,""
"org.axonframework.util","util",0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,6,3,6,3,0,0,6,3,1,2,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.6808510638297872,0.72,0.0,0.8181818181818182,0.75,32,15,18,7,0,0,9,2,3,1,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.6974789915966386,0.6623376623376623,0.0,0.8461538461538461,0.75,83,36,51,26,0,0,11,2,3,1,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.7073170731707317,0.782608695652174,0.0,0.6363636363636364,0.5,29,12,18,5,0,0,7,4,2,2,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.7090909090909091,0.7567567567567568,0.0,0.8571428571428571,0.5,39,16,28,9,0,0,6,1,1,1,""
"org.axonframework.deadline.annotation","annotation",0.7142857142857143,0.7857142857142857,0.0,0.8,0.5,15,6,11,3,0,0,4,1,1,1,""
"org.axonframework.test.deadline","deadline",0.7222222222222222,0.7692307692307693,0.0,0.7,0.6666666666666666,26,10,20,6,0,0,7,3,2,1,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.7241379310344828,0.7575757575757576,0.0,0.8888888888888888,0.6666666666666666,42,16,25,8,0,0,8,1,2,1,""
"org.axonframework.commandhandling.distributed","distributed",0.726775956284153,0.75,0.0,0.8571428571428571,0.5,133,50,72,24,0,0,12,2,1,1,""
"org.axonframework.messaging.interceptors","interceptors",0.7435897435897436,0.6363636363636364,0.0,0.5833333333333334,0.25,29,10,14,8,0,0,7,5,1,3,""
"org.axonframework.eventhandling.pooled","pooled",0.7475728155339806,0.7916666666666666,0.0,0.8571428571428571,0.3333333333333333,154,52,57,15,0,0,12,2,1,2,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.75,0.78,0.0,0.8,0.5,66,22,39,11,0,0,8,2,1,1,""
"org.axonframework.eventhandling.replay","replay",0.75,0.7333333333333333,0.0,0.7142857142857143,0.5,36,12,22,8,0,0,5,2,1,1,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.7553956834532374,0.8032786885245902,0.0,0.8888888888888888,0.5,105,34,49,12,0,0,8,1,1,1,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.7631578947368421,0.8076923076923077,0.0,0.6666666666666666,0.3333333333333333,29,9,21,5,0,0,6,3,1,2,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.7708333333333334,0.8018867924528302,0.0,0.875,0.6666666666666666,185,55,85,21,0,0,14,2,4,2,""
"org.axonframework.test.saga","saga",0.7760416666666666,0.8404255319148937,0.0,0.9444444444444444,0.75,149,43,79,15,0,0,17,1,3,1,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.7850467289719626,0.8392857142857143,0.0,0.9375,0.6666666666666666,84,23,47,9,0,0,15,1,2,1,""
"org.axonframework.config","config",0.7897623400365631,0.8623481781376519,0.0,0.9787234042553191,0.8333333333333334,432,115,213,34,0,0,46,1,5,1,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.8148148148148148,0.8709677419354839,0.0,0.9090909090909091,0.5,44,10,27,4,0,0,10,1,1,1,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.8181818181818182,0.8181818181818182,0.0,0.7142857142857143,0.3333333333333333,9,2,9,2,0,0,5,2,1,2,""
"org.axonframework.serialization.json","json",0.825,0.9230769230769231,0.0,0.8,0.5,33,7,24,2,0,0,4,1,1,1,""
"org.axonframework.eventhandling.scheduling.java","java",0.8275862068965517,0.8636363636363636,0.0,0.8888888888888888,0.5,24,5,19,3,0,0,8,1,1,1,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.8333333333333334,0.8888888888888888,0.0,0.7857142857142857,0.5,45,9,32,4,0,0,11,3,2,2,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.8378378378378378,0.9310344827586207,0.0,0.9,0.5,31,6,27,2,0,0,9,1,1,1,""
"org.axonframework.eventhandling.deadletter","deadletter",0.8421052631578947,0.8529411764705882,0.0,0.7777777777777778,0.3333333333333333,48,9,29,5,0,0,7,2,1,2,""
"org.axonframework.test.aggregate","aggregate",0.8537735849056604,0.8679245283018868,0.0,0.9411764705882353,0.8,181,31,92,14,0,0,16,1,4,1,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.8615384615384616,0.9,0.0,0.9,0.5,56,9,36,4,0,0,9,1,1,1,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.875,0.875,0.0,0.8,0.5,7,1,7,1,0,0,4,1,1,1,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.875,0.8947368421052632,0.0,0.8888888888888888,0.6666666666666666,21,3,17,2,0,0,8,1,2,1,""
"org.axonframework.queryhandling.annotation","annotation",0.875,0.8461538461538461,0.0,0.75,0.3333333333333333,28,4,22,4,0,0,6,2,1,2,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.9,0.92,0.0,0.9090909090909091,0.5,27,3,23,2,0,0,10,1,1,1,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.9016393442622951,0.95,0.0,0.9,0.5,55,6,38,2,0,0,9,1,1,1,""
"org.axonframework.deadline.jobrunr","jobrunr",0.9038461538461539,0.9210526315789473,0.0,0.8333333333333334,0.5,47,5,35,3,0,0,10,2,1,1,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.9166666666666666,0.9090909090909091,0.0,0.875,0.5,22,2,20,2,0,0,7,1,1,1,""
"org.axonframework.deadline.quartz","quartz",0.9180327868852459,0.926829268292683,0.0,0.9090909090909091,0.5,56,5,38,3,0,0,10,1,1,1,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.92,0.9047619047619048,0.0,0.9,0.6666666666666666,23,2,19,2,0,0,9,1,2,1,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.9285714285714286,0.9166666666666666,0.0,0.8,0.6666666666666666,13,1,11,1,0,0,4,1,2,1,""
