"artifactName","dependencyTypeIsInterface","artifactDependencies","artifactDependencyPackages","dependentPackagesRate","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: Artifact_Dependencies/Usage_and_spread_of_internal_artifact_dependents.cypher"
"axon-eventsourcing-4.10.3",true,1,17,100,100,100,100,0,100,9,9,9,0,9,56.39097744360902,56.39097744360902,56.39097744360902,0,56.39097744360902,""
"axon-eventsourcing-4.10.3",false,2,14,72.22222222222221,44.44444444444444,100,72.22222222222223,39.2837100659193,44.44444444444444,4,9,6.5,3.5355339059327378,4,9.022556390977442,33.08270676691729,21.052631578947366,17.013095487195127,9.022556390977442,""
"axon-modelling-4.10.3",true,1,15,90,90,90,90,0,90,9,9,9,0,9,56.9620253164557,56.9620253164557,56.9620253164557,0,56.9620253164557,""
"axon-modelling-4.10.3",false,1,14,90,90,90,90,0,90,9,9,9,0,9,50,50,50,0,50,""
"axon-server-connector-4.10.3",true,2,20,54.54545454545455,36.36363636363637,72.72727272727273,54.54545454545455,25.712973861329,36.36363636363637,4,8,6,2.8284271247461903,4,7.352941176470589,44.117647058823536,25.73529411764706,25.99657283774072,7.352941176470589,""
"axon-server-connector-4.10.3",false,3,23,33.333333333333336,18.181818181818183,63.63636363636364,33.333333333333336,26.2431940540739,18.181818181818183,2,7,3.6666666666666665,2.8867513459481287,2,2.2058823529411766,34.55882352941177,13.480392156862745,18.269259954494338,3.6764705882352944,""
"axon-spring-boot-autoconfigure-4.10.3",false,5,45,24.444444444444446,22.22222222222222,33.33333333333333,24.444444444444443,4.969039949999531,22.22222222222222,2,3,2.2,0.447213595499958,2,5.333333333333333,14.666666666666666,9.6,3.451247761478609,9.333333333333332,""
"axon-spring-boot-autoconfigure-4.10.3",true,4,29,33.33333333333333,22.22222222222222,55.55555555555556,33.333333333333336,15.713484026367725,22.22222222222222,2,5,3,1.4142135623730951,2,6.666666666666666,24,14.333333333333334,8.388704928078612,8,""
"axon-test-4.10.3",false,2,13,68.75,37.5,100,68.75,44.19417382415922,37.5,3,8,5.5,3.5355339059327378,3,12.643678160919539,33.33333333333333,22.988505747126432,14.629795472825117,12.643678160919539,""
"axon-test-4.10.3",true,2,13,56.25,25,87.5,56.25,44.19417382415922,25,2,7,4.5,3.5355339059327378,2,13.793103448275861,40.229885057471265,27.01149425287356,18.69362754860988,13.793103448275861,""
