"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.slf4j",6,53,1,38,3.5,8.833333333333332,14.441837371562757,25,100,59.6875,66.6550925925926,28.91159686673798,113,2,75,8.5,18.833333333333336,27.80947080882099,2.2988505747126435,36.36363636363637,10.30587522713507,13.015791702188661,12.036202356518622,"axon-disruptor-4.8.2,axon-eventsourcing-4.8.2,axon-configuration-4.8.2,axon-test-4.8.2",""
"jakarta.persistence",3,6,1,3,2,2,1,4.6875,20,11.11111111111111,11.93287037037037,7.689254207830155,14,3,8,3,4.666666666666667,2.8867513459481287,1.0498687664041995,2.307692307692308,2,1.7858536913655025,0.6556858976529659,"axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2",""
"javax.persistence",3,9,2,4,3,3,1,6.25,30,22.22222222222222,19.49074074074074,12.108318145504652,14,3,8,3,4.666666666666667,2.8867513459481287,1.0498687664041995,2.307692307692308,2,1.7858536913655025,0.6556858976529659,"axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2",""
"javax.sql",3,4,1,2,1,1.3333333333333333,0.5773502691896257,1.5625,22.22222222222222,10,11.261574074074073,10.387478396277297,6,1,4,1,2,1.7320508075688772,0.13123359580052493,3.076923076923077,0.6666666666666666,1.291607779796756,1.569135168160863,"axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2",""
"com.fasterxml.jackson.annotation",1,3,3,3,3,3,0,4.6875,4.6875,4.6875,4.6875,0,5,5,5,5,5,0,0.6561679790026247,0.6561679790026247,0.6561679790026247,0.6561679790026247,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.core",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.39370078740157477,0.39370078740157477,0.39370078740157477,0.39370078740157477,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.databind",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,7,7,7,7,7,0,0.9186351706036745,0.9186351706036745,0.9186351706036745,0.9186351706036745,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.databind.jsontype",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,1,1,1,1,1,0,0.13123359580052493,0.13123359580052493,0.13123359580052493,0.13123359580052493,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.databind.module",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,1,1,1,1,1,0,0.13123359580052493,0.13123359580052493,0.13123359580052493,0.13123359580052493,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.databind.node",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.26246719160104987,0.26246719160104987,0.26246719160104987,0.26246719160104987,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.databind.type",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.39370078740157477,0.39370078740157477,0.39370078740157477,0.39370078740157477,0,"axon-messaging-4.8.2",""
"com.fasterxml.jackson.datatype.jsr310",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,1,1,1,1,1,0,0.13123359580052493,0.13123359580052493,0.13123359580052493,0.13123359580052493,0,"axon-messaging-4.8.2",""
"com.github.kagkarlsson.scheduler",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,4,4,4,4,4,0,0.5249343832020997,0.5249343832020997,0.5249343832020997,0.5249343832020997,0,"axon-messaging-4.8.2",""
"com.github.kagkarlsson.scheduler.task",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,4,4,4,4,4,0,0.5249343832020997,0.5249343832020997,0.5249343832020997,0.5249343832020997,0,"axon-messaging-4.8.2",""
