"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.9.1",786,"Interface",154,""
"axon-messaging-4.9.1",786,"Class",587,""
"axon-messaging-4.9.1",786,"Annotation",26,""
"axon-messaging-4.9.1",786,"Enum",19,""
"axon-modelling-4.9.1",156,"Class",113,""
"axon-modelling-4.9.1",156,"Interface",28,""
"axon-modelling-4.9.1",156,"Annotation",12,""
"axon-modelling-4.9.1",156,"Enum",3,""
"axon-eventsourcing-4.9.1",133,"Class",98,""
"axon-eventsourcing-4.9.1",133,"Interface",32,""
"axon-eventsourcing-4.9.1",133,"Annotation",1,""
"axon-eventsourcing-4.9.1",133,"Enum",2,""
"axon-test-4.9.1",87,"Class",71,""
"axon-test-4.9.1",87,"Interface",16,""
"axon-configuration-4.9.1",40,"Class",23,""
"axon-configuration-4.9.1",40,"Annotation",1,""
"axon-configuration-4.9.1",40,"Interface",15,""
"axon-configuration-4.9.1",40,"Enum",1,""
"axon-disruptor-4.9.1",22,"Class",22,""
