"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.8.3",762,"Class",570,""
"axon-messaging-4.8.3",762,"Interface",147,""
"axon-messaging-4.8.3",762,"Enum",19,""
"axon-messaging-4.8.3",762,"Annotation",26,""
"axon-modelling-4.8.3",150,"Class",109,""
"axon-modelling-4.8.3",150,"Interface",26,""
"axon-modelling-4.8.3",150,"Annotation",12,""
"axon-modelling-4.8.3",150,"Enum",3,""
"axon-eventsourcing-4.8.3",130,"Class",96,""
"axon-eventsourcing-4.8.3",130,"Interface",31,""
"axon-eventsourcing-4.8.3",130,"Enum",2,""
"axon-eventsourcing-4.8.3",130,"Annotation",1,""
"axon-test-4.8.3",87,"Class",71,""
"axon-test-4.8.3",87,"Interface",16,""
"axon-configuration-4.8.3",39,"Class",22,""
"axon-configuration-4.8.3",39,"Interface",15,""
"axon-configuration-4.8.3",39,"Annotation",1,""
"axon-configuration-4.8.3",39,"Enum",1,""
"axon-disruptor-4.8.3",22,"Class",22,""
