"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,0.19557195571955718,0.02492861262361687,7,"eventsourcing,conflictresolution,eventstore,inmemory,jpa,legacyjpa,snapshotting","org.axonframework.eventsourcing,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.snapshotting",""
1,0.20784313725490197,0.023141934153245718,2,"jdbc,statements","org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jdbc.statements",""
2,0,0,1,"config","org.axonframework.config",""
3,0.42802303262955854,0.031649094236559705,5,"commandhandling,callbacks,distributed,commandfilter,gateway","org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.commandhandling.gateway",""
4,0.25406032482598606,0.13767767791294247,31,"common,caching,digest,io,jdbc,lock,property,stream,transaction","org.axonframework.common,org.axonframework.common.caching,org.axonframework.common.digest,org.axonframework.common.io,org.axonframework.common.jdbc,org.axonframework.common.lock,org.axonframework.common.property,org.axonframework.common.stream,org.axonframework.common.transaction",""
5,0.48714069591527986,0.05596779391703878,14,"annotation,replay,messaging,correlation,interceptors,responsetypes,monitoring,queryhandling,registration","org.axonframework.common.annotation,org.axonframework.deadline.annotation,org.axonframework.eventhandling.replay,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.messaging.correlation,org.axonframework.messaging.interceptors,org.axonframework.messaging.responsetypes,org.axonframework.monitoring",""
6,0.558974358974359,0.018332131787520373,4,"jpa,legacyjpa","org.axonframework.common.jpa,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa",""
7,0.49011446409989595,0.04526786239918923,10,"deadline,quartz,dbscheduler,jobrunr,serialization,json,converters,upcasting,event","org.axonframework.deadline,org.axonframework.deadline.quartz,org.axonframework.deadline.dbscheduler,org.axonframework.deadline.jobrunr,org.axonframework.serialization,org.axonframework.serialization.json,org.axonframework.serialization.converters,org.axonframework.serialization.upcasting,org.axonframework.serialization.upcasting.event",""
8,0,0.06350031953227536,7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler","org.axonframework.test,org.axonframework.test.aggregate,org.axonframework.test.matchers,org.axonframework.test.saga,org.axonframework.test.utils,org.axonframework.test.deadline,org.axonframework.test.eventscheduler",""
9,0,0,1,"server","org.axonframework.test.server",""
10,0,0,1,"commandhandling","org.axonframework.disruptor.commandhandling",""
11,0,0.023939061729252926,3,"command,inspection,legacyjpa","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command.legacyjpa",""
12,0,0.0505229435073636,7,"saga,metamodel,repository,inmemory,jdbc,jpa,legacyjpa","org.axonframework.modelling.saga,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa",""
