"artifactName","effectiveLineCount","methods","Source Cypher File: Overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-configuration-4.10.0.jar",1,310,""
"axon-configuration-4.10.0.jar",2,146,""
"axon-configuration-4.10.0.jar",3,34,""
"axon-configuration-4.10.0.jar",4,42,""
"axon-configuration-4.10.0.jar",5,16,""
"axon-configuration-4.10.0.jar",6,17,""
"axon-configuration-4.10.0.jar",7,3,""
"axon-configuration-4.10.0.jar",8,7,""
"axon-configuration-4.10.0.jar",9,8,""
"axon-configuration-4.10.0.jar",10,6,""
"axon-configuration-4.10.0.jar",11,5,""
"axon-configuration-4.10.0.jar",12,1,""
"axon-configuration-4.10.0.jar",13,2,""
"axon-configuration-4.10.0.jar",14,1,""
"axon-configuration-4.10.0.jar",17,1,""
"axon-configuration-4.10.0.jar",18,1,""
"axon-configuration-4.10.0.jar",19,1,""
"axon-configuration-4.10.0.jar",21,1,""
"axon-configuration-4.10.0.jar",23,1,""
"axon-configuration-4.10.0.jar",26,1,""
"axon-configuration-4.10.0.jar",43,1,""
"axon-configuration-4.10.0.jar",50,1,""
"axon-disruptor-4.10.0.jar",1,84,""
"axon-disruptor-4.10.0.jar",2,31,""
"axon-disruptor-4.10.0.jar",3,30,""
"axon-disruptor-4.10.0.jar",4,8,""
"axon-disruptor-4.10.0.jar",5,5,""
"axon-disruptor-4.10.0.jar",6,6,""
"axon-disruptor-4.10.0.jar",7,2,""
"axon-disruptor-4.10.0.jar",9,4,""
"axon-disruptor-4.10.0.jar",10,3,""
"axon-disruptor-4.10.0.jar",11,1,""
"axon-disruptor-4.10.0.jar",12,1,""
"axon-disruptor-4.10.0.jar",13,1,""
"axon-disruptor-4.10.0.jar",14,2,""
"axon-disruptor-4.10.0.jar",17,1,""
"axon-disruptor-4.10.0.jar",18,1,""
"axon-disruptor-4.10.0.jar",19,1,""
"axon-disruptor-4.10.0.jar",22,1,""
"axon-disruptor-4.10.0.jar",24,1,""
"axon-disruptor-4.10.0.jar",32,1,""
"axon-eventsourcing-4.10.0.jar",1,573,""
"axon-eventsourcing-4.10.0.jar",2,204,""
"axon-eventsourcing-4.10.0.jar",3,127,""
"axon-eventsourcing-4.10.0.jar",4,64,""
"axon-eventsourcing-4.10.0.jar",5,39,""
"axon-eventsourcing-4.10.0.jar",6,34,""
"axon-eventsourcing-4.10.0.jar",7,32,""
"axon-eventsourcing-4.10.0.jar",8,12,""
"axon-eventsourcing-4.10.0.jar",9,18,""
"axon-eventsourcing-4.10.0.jar",10,7,""
"axon-eventsourcing-4.10.0.jar",11,2,""
"axon-eventsourcing-4.10.0.jar",12,5,""
"axon-eventsourcing-4.10.0.jar",13,2,""
"axon-eventsourcing-4.10.0.jar",14,3,""
"axon-eventsourcing-4.10.0.jar",15,2,""
"axon-eventsourcing-4.10.0.jar",16,6,""
"axon-eventsourcing-4.10.0.jar",18,3,""
"axon-eventsourcing-4.10.0.jar",20,2,""
"axon-eventsourcing-4.10.0.jar",21,2,""
"axon-eventsourcing-4.10.0.jar",22,1,""
"axon-eventsourcing-4.10.0.jar",23,2,""
"axon-eventsourcing-4.10.0.jar",24,1,""
"axon-eventsourcing-4.10.0.jar",25,1,""
"axon-messaging-4.10.0.jar",1,2827,""
"axon-messaging-4.10.0.jar",2,827,""
"axon-messaging-4.10.0.jar",3,670,""
"axon-messaging-4.10.0.jar",4,271,""
"axon-messaging-4.10.0.jar",5,220,""
"axon-messaging-4.10.0.jar",6,161,""
"axon-messaging-4.10.0.jar",7,103,""
"axon-messaging-4.10.0.jar",8,80,""
"axon-messaging-4.10.0.jar",9,78,""
"axon-messaging-4.10.0.jar",10,46,""
"axon-messaging-4.10.0.jar",11,45,""
"axon-messaging-4.10.0.jar",12,42,""
"axon-messaging-4.10.0.jar",13,30,""
"axon-messaging-4.10.0.jar",14,12,""
