"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,0,0.054646758472571375,7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler","org.axonframework.test,org.axonframework.test.aggregate,org.axonframework.test.matchers,org.axonframework.test.saga,org.axonframework.test.utils,org.axonframework.test.deadline,org.axonframework.test.eventscheduler",""
4,0,0,1,"server","org.axonframework.test.server",""
8,0,0.02045599858464754,3,"command,inspection,legacyjpa","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command.legacyjpa",""
11,0,0.04337166579578603,7,"saga,metamodel,repository,inmemory,jdbc,jpa,legacyjpa","org.axonframework.modelling.saga,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa",""
18,0,0,1,"config","org.axonframework.config",""
19,0,0.09371048636283219,11,"connector,util,heartbeat,source,checker,query,subscription,processor,command","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.heartbeat,org.axonframework.axonserver.connector.heartbeat.source,org.axonframework.axonserver.connector.heartbeat.connection.checker,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.query.subscription,org.axonframework.axonserver.connector.processor,org.axonframework.axonserver.connector.command",""
30,0,0.041523478804685474,9,"actuator,axonserver,springboot,util,legacyjpa,jpa,connection,autoconfig","org.axonframework.actuator,org.axonframework.actuator.axonserver,org.axonframework.springboot,org.axonframework.springboot.util,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.util.jpa,org.axonframework.springboot.service.connection,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa",""
39,0,0,1,"commandhandling","org.axonframework.disruptor.commandhandling",""
40,0,0.21964064859349347,64,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest","org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.commandhandling.gateway,org.axonframework.common,org.axonframework.common.annotation,org.axonframework.common.caching,org.axonframework.common.digest",""
104,0,0.05050096894041942,9,"eventsourcing,conflictresolution,eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting","org.axonframework.eventsourcing,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.snapshotting",""
113,0,0,1,"opentelemetry","org.axonframework.tracing.opentelemetry",""
