"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-configuration-4.10.0",1,41,2,1,100,"javax.annotation",1,13,100,31.70731707317073,"org.axonframework.config","org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Component,org.axonframework.config.Configuration$1,org.axonframework.config.Configurer,org.axonframework.config.Configuration,org.axonframework.config.LifecycleHandlerInspector$1,org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.DefaultConfigurer,org.axonframework.config.EventProcessingConfigurer",""
"axon-configuration-4.10.0",1,41,2,1,100,"org.slf4j",1,6,100,14.634146341463413,"org.axonframework.config","org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Component,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.DefaultConfigurer,org.axonframework.config.MessageHandlerRegistrar",""
"axon-disruptor-4.10.0",1,22,4,1,100,"WeakValue",1,1,100,4.545454545454546,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.FirstLevelCache",""
"axon-disruptor-4.10.0",1,22,4,1,100,"com.lmax",1,7,100,31.81818181818182,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-disruptor-4.10.0",1,22,4,1,100,"javax.annotation",1,6,100,27.272727272727273,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback",""
"axon-disruptor-4.10.0",1,22,4,1,100,"org.slf4j",1,8,100,36.36363636363637,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"org.springframework",7,52,77.77777777777777,70.27027027027027,"org.axonframework.actuator,org.axonframework.actuator.axonserver,org.axonframework.springboot,org.axonframework.springboot.util,org.axonframework.springboot.service.connection,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.actuator.HealthStatus,org.axonframework.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.springboot.MetricsProperties,org.axonframework.springboot.TracingProperties,org.axonframework.springboot.DistributedCommandBusProperties,org.axonframework.springboot.EventProcessorProperties,org.axonframework.springboot.TagsConfigurationProperties,org.axonframework.springboot.TokenStoreProperties",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"javax.annotation",4,8,44.44444444444444,10.81081081081081,"org.axonframework.springboot.util,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.util.jpa,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.DeadLetterQueueProviderConfigurerModule,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionConfiguration,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionDetailsConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"org.slf4j",3,4,33.33333333333333,5.405405405405405,"org.axonframework.springboot.util,org.axonframework.springboot.service.connection,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.XStreamSecurityTypeUtility,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"jakarta.persistence",2,3,22.22222222222222,4.054054054054054,"org.axonframework.springboot.util.jpa,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"javax.persistence",2,3,22.22222222222222,4.054054054054054,"org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"org.axonframework",2,7,22.22222222222222,9.45945945945946,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.autoconfig.InfraConfiguration,org.axonframework.springboot.autoconfig.MetricsAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration,org.axonframework.springboot.autoconfig.TransactionAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"com.codahale",1,1,11.11111111111111,1.3513513513513513,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.MetricsAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"com.fasterxml",1,3,11.11111111111111,4.054054054054054,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"com.github",1,1,11.11111111111111,1.3513513513513513,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"com.thoughtworks",1,2,11.11111111111111,2.7027027027027026,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.XStreamAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"io.axoniq",1,2,11.11111111111111,2.7027027027027026,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.0",9,74,13,9,100,"io.micrometer",1,1,11.11111111111111,1.3513513513513513,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration",""
